"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-02","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4185385","","","","0"
"2015-03","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4739751","","","","0"
"2015-04","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","3991464","","","","0"
"2015-05","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","3596704","","","","0"
"2015-06","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4309998","","","","0"
"2015-07","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4451737","","","","0"
"2015-08","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","3508190","","","","0"
"2015-09","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","5773473","","","","0"
"2015-10","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4211317","","","","0"
"2015-11","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4280910","","","","0"
"2015-12","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4935911","","","","0"
"2016-01","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4118696","","","","0"
"2016-02","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4073474","","","","0"
"2016-03","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4849055","","","","0"
"2016-04","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","3450702","","","","0"
"2016-05","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","2800245","","","","0"
"2016-06","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4457924","","","","0"
"2016-07","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","3985604","","","","0"
"2016-08","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","3865528","","","","0"
"2016-09","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","5298781","","","","0"
"2016-10","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4022717","","","","0"
"2016-11","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","5710445","","","","0"
"2016-12","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","3890452","","","","0"
"2017-01","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4270284","","","","0"
"2017-02","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","3858639","","","","0"
"2017-03","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","5110914","","","","0"
"2017-04","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","3877512","","","","0"
"2017-05","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","2909464","","","","0"
"2017-06","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","5871125","","","","0"
"2017-07","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4148873","","","","0"
"2017-08","Canada","2016A000011124","All grains, total","Tonnes","288","units","0","v32861680","7.1","4460315","","","","0"
